ten,loai_dien_thoai,thoi_gian_bao_hanh,danh_gia,so_luong_binh_luan,duong_dan,mau_sac,gia_moi,gia_cu,he_dieu_hanh,cpu,ram,bo_nho_trong,dung_luong_pin,thiet_ke,hang_dien_thoai,la_dien_thoai_cu,kich_thuoc_man_hinh,tan_so_quet,do_sang_man_hinh,loai_man_hinh,so_the_sim,loai_pin,cong_suat_sac,do_phan_giai_cam_sau,do_phan_giai_cam_truoc
Điện thoại Xiaomi Redmi Note 13 Chính hãng DGW (Snapdragon 685),Redmi,12,5.0,21,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-4g.html,Xanh lá,3950000,4850000,Android 13,"Qualcomm SM6225 Snapdragon 685 (6 nm)
8 nhân (4x2.8 GHz & 4x1.8 GHz)
GPU: Adreno 610",6.0,128.0,5000.0,"Khung nhựa, mặt lưng nhựa
Vuông vức, thời trang
Kháng nước, bụi IP54
Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt",Xiaomi,false,6.67,120.0,1800.0,AMOLED,2,Li-Po,33.0,"108.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Chính hãng DGW (Snapdragon 685),Redmi,12,5.0,21,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-4g.html,Đen,3650000,4850000,Android 13,"Qualcomm SM6225 Snapdragon 685 (6 nm)
8 nhân (4x2.8 GHz & 4x1.8 GHz)
GPU: Adreno 610",6.0,128.0,5000.0,"Khung nhựa, mặt lưng nhựa
Vuông vức, thời trang
Kháng nước, bụi IP54
Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt",Xiaomi,false,6.67,120.0,1800.0,AMOLED,2,Li-Po,33.0,"108.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Chính hãng DGW (Snapdragon 685),Redmi,12,5.0,21,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-4g.html,Đen,3950000,4850000,Android 13,"Qualcomm SM6225 Snapdragon 685 (6 nm)
8 nhân (4x2.8 GHz & 4x1.8 GHz)
GPU: Adreno 610",6.0,128.0,5000.0,"Khung nhựa, mặt lưng nhựa
Vuông vức, thời trang
Kháng nước, bụi IP54
Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt",Xiaomi,false,6.67,120.0,1800.0,AMOLED,2,Li-Po,33.0,"108.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Chính hãng DGW (Snapdragon 685),Redmi,12,5.0,21,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-4g.html,Xanh dương,3650000,4850000,Android 13,"Qualcomm SM6225 Snapdragon 685 (6 nm)
8 nhân (4x2.8 GHz & 4x1.8 GHz)
GPU: Adreno 610",6.0,128.0,5000.0,"Khung nhựa, mặt lưng nhựa
Vuông vức, thời trang
Kháng nước, bụi IP54
Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt",Xiaomi,false,6.67,120.0,1800.0,AMOLED,2,Li-Po,33.0,"108.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Chính hãng DGW (Snapdragon 685),Redmi,12,5.0,21,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-4g.html,Xanh dương,3950000,4850000,Android 13,"Qualcomm SM6225 Snapdragon 685 (6 nm)
8 nhân (4x2.8 GHz & 4x1.8 GHz)
GPU: Adreno 610",6.0,128.0,5000.0,"Khung nhựa, mặt lưng nhựa
Vuông vức, thời trang
Kháng nước, bụi IP54
Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt",Xiaomi,false,6.67,120.0,1800.0,AMOLED,2,Li-Po,33.0,"108.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 12 Discovery Edition,Redmi,12,5.0,29,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-12-discovery-edition.html,Đen,3450000,4950000,Android 12,"Dimensity 1080 (6nm)
8 nhân (1x2.6GHz & 3x2.2GHz & 3x1.8GHz)
GPU: Mali-G68",8.0,256.0,4300.0,Thanh + Cảm ứng,Xiaomi,false,6.67,120.0,,OLED,2,Li-Po,210.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 12 Discovery Edition,Redmi,12,5.0,29,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-12-discovery-edition.html,Trắng,3450000,4950000,Android 12,"Dimensity 1080 (6nm)
8 nhân (1x2.6GHz & 3x2.2GHz & 3x1.8GHz)
GPU: Mali-G68",8.0,256.0,4300.0,Thanh + Cảm ứng,Xiaomi,false,6.67,120.0,,OLED,2,Li-Po,210.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 12 Discovery Edition,Redmi,12,5.0,29,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-12-discovery-edition.html,Xanh,3450000,4950000,Android 12,"Dimensity 1080 (6nm)
8 nhân (1x2.6GHz & 3x2.2GHz & 3x1.8GHz)
GPU: Mali-G68",8.0,256.0,4300.0,Thanh + Cảm ứng,Xiaomi,false,6.67,120.0,,OLED,2,Li-Po,210.0,"200.0,8.0,2.0",16.0
Điện thoại Vivo iQOO Z9x 5G (pin 6000mAh),Vivo,12,5.0,53,https://mobilecity.vn/dien-thoai/vivo-iqoo-z9x-5g.html,Xanh,3350000,4950000,Android 14,"Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm)
8 nhân (4x2.2 GHz & 4x1.8 GHz)
GPU: Adreno 710",8.0,128.0,6000.0,"Khung nhựa vuông vức
Măt lưng nhựa phẳng; Màn hình phẳng
Kháng nước, chống bụi IP64",Vivo,false,6.72,120.0,1000.0,LCD,2,"",44.0,"50.0,2.0",8.0
Điện thoại Vivo iQOO Z9x 5G (pin 6000mAh),Vivo,12,5.0,53,https://mobilecity.vn/dien-thoai/vivo-iqoo-z9x-5g.html,Xanh,3750000,4950000,Android 14,"Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm)
8 nhân (4x2.2 GHz & 4x1.8 GHz)
GPU: Adreno 710",8.0,128.0,6000.0,"Khung nhựa vuông vức
Măt lưng nhựa phẳng; Màn hình phẳng
Kháng nước, chống bụi IP64",Vivo,false,6.72,120.0,1000.0,LCD,2,"",44.0,"50.0,2.0",8.0
